order_month,orders,revenue,total_cost,margin,avg_margin,profitable_pct,refund_rate,avg_order_value,margin_pct
2024-01,1074,93002.35,80276.42,12725.93,11.849096834264433,0.7700186219739292,0.049348230912476726,91.75616387337057,13.68
2024-02,2102,157607.6,139509.24,18098.36,8.610066603235014,0.7402473834443387,0.042340627973358705,78.71529019980971,11.48
2024-03,3135,235960.29,211146.0,24814.29,7.915244019138756,0.7266347687400319,0.04784688995215311,79.85678787878788,10.52
2024-04,3857,292038.95,265027.74,27011.21,7.003165672802696,0.7072854550168525,0.05340938553279751,80.33665024630542,9.25
2024-05,4500,340316.47,310129.27,30187.2,6.708266666666667,0.7051111111111111,0.04933333333333333,80.21274888888888,8.87
2024-06,3890,291625.23,272497.22,19128.01,4.917226221079691,0.6796915167095116,0.05758354755784062,80.45992287917737,6.56
2024-07,4631,348780.5,327696.19,21084.31,4.552863312459512,0.6668106240552797,0.05398402072986396,80.22141438134312,6.05
2024-08,5841,450634.45,421896.43,28738.02,4.92005136106831,0.6623865776408149,0.048279404211607604,81.86031843862352,6.38
2024-09,5864,445399.33,420826.91,24572.42,4.190385402455662,0.6560368349249659,0.049965893587994546,80.50853342428375,5.52
2024-10,6401,477774.51,461891.59,15882.92,2.4813185439775034,0.6370879550070302,0.05264802374628964,79.73281518512732,3.32
2024-11,6605,559744.18,530373.43,29370.75,4.446744890234671,0.6575321725965177,0.056169568508705525,90.7542165026495,5.25
2024-12,8043,687882.28,684695.59,3186.69,0.39620663931368894,0.5957975879646898,0.05918189730200174,91.6565361183638,0.46
2025-01,8250,710149.08,674013.77,36135.31,4.380037575757576,0.6385454545454545,0.05248484848484848,91.59860242424242,5.09
2025-02,6554,500074.02,493359.0,6715.0199999999995,1.0245682026243514,0.5773573390296003,0.04668904485810192,80.64810497406165,1.34
2025-03,7937,597369.0,595273.79,2095.21,0.2639800932342195,0.5728864810381756,0.05102683633614716,80.14051026836336,0.35
2025-04,8711,653347.28,658263.46,-4916.18,-0.5643645964872002,0.5431064171736885,0.047870508552405,79.49490414418551,-0.75
2025-05,9880,751945.94,760830.92,-8884.98,-0.8992894736842105,0.5489878542510122,0.05263157894736842,81.28003036437246,-1.18
2025-06,9108,694219.12,709888.52,-15669.4,-1.7203996486605182,0.5231664470794906,0.04841897233201581,80.95609244620114,-2.26
2025-07,9724,748293.84,766634.21,-18340.37,-1.8860931715343479,0.5219045660222131,0.04853969559851913,81.70964417935005,-2.45
2025-08,10265,778903.99,807175.55,-28271.56,-2.75417048222114,0.5007306380905991,0.0490014612761812,80.50373015099854,-3.63
2025-09,11670,880430.74,924221.25,-43790.51,-3.752400171379606,0.4813196229648672,0.050814053127677804,80.17055355612682,-4.97
2025-10,13863,1059086.81,1115815.84,-56729.03,-4.092117867705403,0.48128110798528456,0.04970064199668182,81.00985573108272,-5.36
2025-11,17086,1477921.52,1505234.07,-27312.55,-1.5985338873931874,0.5322486246049397,0.05337703382886574,92.03053611143626,-1.85
2025-12,31009,2684123.73,2885003.02,-200879.29,-6.478096359121546,0.4685736399109936,0.05469379857460737,92.30738301783353,-7.48
